Name,Abbreviation,Location,Area km2,Population (2020),Capital,Official language(s),Largest city,Status,Acquired / Ratified / Admitted,Representatives
Alabama,AL,Contiental US,135767,5024279,Montgomery,None,Huntsville,State,"Dec 14, 1819",7
Alaska,AK,Contiental US,1723337,733391,Juneau,"Inupiaq, Siberian Yupik, Central Alaskan Yup'ik, Alutiiq, Unangax, Dena'ina, Deg Xinag, Holikachuk, Koyukon, Upper Kuskokwim, Gwich'in, Lower Tanana, Middle Tanana, Upper Tanana, Tanacross, Hän, Ahtna, Eyak, Tlingit, Haida, Cup’ig, Wetal, Tsimshian",Anchorage,State,3-Jan-59,1
Arizona,AZ,Contiental US,295234,7151502,Phoenix,None,Phoenix,State,14-Feb-12,9
Arkansas,AR,Contiental US,137732,3011524,Little Rock,None,Little Rock,State,"Jun 15, 1836",4
California,CA,Contiental US,423967,39538223,Sacramento,None,Los Angeles,State,"Sep 9, 1850",52
Colorado,CO,Contiental US,269601,5773714,Denver,None,Denver,State,"Aug 1, 1876",8
Connecticut,CT,Contiental US,14357,3605944,Hartford,None,Bridgeport,State,"Jan 9, 1788",5
Delaware,DE,Contiental US,6446,989948,Dover,None,Wilmington,State,"Dec 7, 1787",1
Florida,FL,Contiental US,170312,21538187,Tallahassee,None,Jacksonville,State,"Mar 3, 1845",28
Georgia,GA,Contiental US,153910,10711908,Atlanta,None,Atlanta,State,"Jan 2, 1788",14
Hawaii,HI,Pacific,28313,1455271,Honolulu,Hawaiian,Honolulu,State,21-Aug-59,2
Idaho,ID,Contiental US,216443,1839106,Boise,None,Boise,State,"Jul 3, 1890",2
Illinois,IL,Contiental US,149995,12812508,Springfield,None,Chicago,State,"Dec 3, 1818",17
Indiana,IN,Contiental US,94326,6785528,Indianapolis,None,Indianapolis,State,"Dec 11, 1816",9
Iowa,IA,Contiental US,145746,3190369,Des Moines,None,Des Moines,State,"Dec 28, 1846",4
Kansas,KS,Contiental US,213100,2937880,Topeka,None,Wichita,State,"Jan 29, 1861",4
Kentucky,KY,Contiental US,104656,4505836,Frankfort,None,Louisville,State,"Jun 1, 1792",6
Louisiana,LA,Contiental US,135659,4657757,Baton Rouge,None,New Orleans,State,"Apr 30, 1812",6
Maine,ME,Contiental US,91633,1362359,Augusta,None,Portland,State,"Mar 15, 1820",2
Maryland,MD,Contiental US,32131,6177224,Annapolis,None,Baltimore,State,"Apr 28, 1788",8
Massachusetts,MA,Contiental US,27336,7029917,Boston,None,Boston,State,"Feb 6, 1788",9
Michigan,MI,Contiental US,250487,10077331,Lansing,None,Detroit,State,"Jan 26, 1837",13
Minnesota,MN,Contiental US,225163,5706494,Saint Paul,None,Minneapolis,State,"May 11, 1858",8
Mississippi,MS,Contiental US,125438,2961279,Jackson,None,Jackson,State,"Dec 10, 1817",4
Missouri,MO,Contiental US,180540,6154913,Jefferson City,None,Kansas City,State,"Aug 10, 1821",8
Montana,MT,Contiental US,380831,1084225,Helena,None,Billings,State,"Nov 8, 1889",2
Nebraska,NE,Contiental US,200330,1961504,Lincoln,None,Omaha,State,"Mar 1, 1867",3
Nevada,NV,Contiental US,286380,3104614,Carson City,None,Las Vegas,State,"Oct 31, 1864",4
New Hampshire,NH,Contiental US,24214,1377529,Concord,None,Manchester,State,"Jun 21, 1788",2
New Jersey,NJ,Contiental US,22591,9288994,Trenton,None,Newark,State,"Dec 18, 1787",12
New Mexico,NM,Contiental US,314917,2117522,Santa Fe,None,Albuquerque,State,6-Jan-12,3
New York,NY,Contiental US,141297,20201249,Albany,None,New York City,State,"Jul 26, 1788",26
North Carolina,NC,Contiental US,139391,10439388,Raleigh,None,Charlotte,State,"Nov 21, 1789",14
North Dakota,ND,Contiental US,183108,779094,Bismarck,None,Fargo,State,"Nov 2, 1889",1
Ohio,OH,Contiental US,116098,11799448,Columbus,None,Columbus,State,"Mar 1, 1803",15
Oklahoma,OK,Contiental US,181037,3959353,Oklahoma City,None,Oklahoma City,State,16-Nov-07,5
Oregon,OR,Contiental US,254799,4237256,Salem,None,Portland,State,"Feb 14, 1859",6
Pennsylvania,PA,Contiental US,119280,13002700,Harrisburg,None,Philadelphia,State,"Dec 12, 1787",17
Rhode Island,RI,Contiental US,4001,1097379,Providence,None,Providence,State,"May 29, 1790",2
South Carolina,SC,Contiental US,82933,5118425,Columbia,None,Charleston,State,"May 23, 1788",7
South Dakota,SD,Contiental US,199729,886667,Pierre,Sioux,Sioux Falls,State,"Nov 2, 1889",1
Tennessee,TN,Contiental US,109153,6910840,Nashville,None,Nashville,State,"Jun 1, 1796",9
Texas,TX,Contiental US,695662,29145505,Austin,None,Houston,State,"Dec 29, 1845",38
Utah,UT,Contiental US,219882,3271616,Salt Lake City,None,Salt Lake City,State,"Jan 4, 1896",4
Vermont,VT,Contiental US,24906,643077,Montpelier,None,Burlington,State,"Mar 4, 1791",1
Virginia,VA,Contiental US,110787,8631393,Richmond,None,Virginia Beach,State,"Jun 25, 1788",11
Washington,WA,Contiental US,184661,7705281,Olympia,None,Seattle,State,"Nov 11, 1889",10
West Virginia,WV,Contiental US,62756,1793716,Charleston,None,Charleston,State,"Jun 20, 1863",2
Wisconsin,WI,Contiental US,169635,5893718,Madison,None,Milwaukee,State,"May 29, 1848",8
Wyoming,WY,Contiental US,253335,576851,Cheyenne,None,Cheyenne,State,"Jul 10, 1890",1
District of Columbia,DC,Contiental US,176,"689,545",District of Columbia,None,District of Columbia,Federal district,"Jul 16, 1790",1
U.S. Virgin Islands,VI,Caribbean (North Atlantic),346.36,87146,Charlotte Amalie,English,"Charlotte Amalie","Unincorporated, organized","March 31, 1917",0
Puerto Rico,PR,Caribbean (North Atlantic),9104,3285874,San Juan,"Spanish, English","San Juan","Unincorporated, organized (Commonwealth)","April 11, 1899",0
"Northern Mariana Islands",MP,Micronesia (North Pacific),463.63,47329,Saipan,"English, Chamorro, Carolinian",Saipan,"Unincorporated, organized (Commonwealth)","November 4, 1986",0
Guam,GU,Micronesia (North Pacific),543,153836,Hagåtña,"English, Chamorro",Dededo,"Unincorporated, organized","April 11, 1899",0
American Samoa,AS,Polynesia (South Pacific),197.1,49710,Pago Pago,"Samoan, English",Tafuna,"Unincorporated, unorganized","April 17, 1900",0
